month_date,threshold_actual,name,value,value_12m,threshold_type,real_dollars_date,threshold_nominal
2012-10-01,9.982807775950775,share,0.1647457238494146,0.17430999741800302,real,February 2023,13
2012-11-01,9.966043202673314,share,0.17141407242193635,0.17390789000162804,real,February 2023,13
2012-12-01,9.964836498170051,share,0.1718681623676081,0.17393071762489123,real,February 2023,13
2013-01-01,9.984574736116269,share,0.17363229539826416,0.17371457899668197,real,February 2023,13
2013-02-01,10.038790245584256,share,0.20262003465264292,0.17572949742385333,real,February 2023,13
2013-03-01,10.010561979525805,share,0.20719396554401837,0.17837368130190923,real,February 2023,13
2013-04-01,9.989660133665728,share,0.1615931973403148,0.1776205737768021,real,February 2023,13
2013-05-01,9.99379740624834,share,0.16863407126971974,0.17685612780265797,real,February 2023,13
2013-06-01,10.017586723598365,share,0.20721912100839443,0.17977919277978913,real,February 2023,13
2013-07-01,10.037195671776376,share,0.22115423947143337,0.1827809563076565,real,February 2023,13
2013-08-01,10.061157375484006,share,0.20400659483173744,0.18539706542227738,real,February 2023,13
2013-09-01,10.064949875351402,share,0.205286591607743,0.18828067248026895,real,February 2023,13
2013-10-01,10.07033694902668,share,0.20315357840411769,0.1914813270264942,real,February 2023,13
2013-11-01,10.088911579059033,share,0.19330259206696218,0.19330537033024636,real,February 2023,13
2013-12-01,10.115588367899006,share,0.21259456166755822,0.19669923693857552,real,February 2023,13
2014-01-01,10.14011032726887,share,0.19843931551152424,0.19876648861468055,real,February 2023,13
2014-02-01,10.151272343924044,share,0.19418553440064296,0.19806361359368055,real,February 2023,13
2014-03-01,10.17200180342651,share,0.19458162780938143,0.19701258544912745,real,February 2023,13
2014-04-01,10.190964302763485,share,0.21658824900397528,0.20159550642109916,real,February 2023,13
2014-05-01,10.210357767994484,share,0.20133102961752855,0.20432025295008324,real,February 2023,13
2014-06-01,10.223847000477376,share,0.20352285828940203,0.20401223105683386,real,February 2023,13
2014-07-01,10.235353789847768,share,0.2026139618065046,0.2024672079180898,real,February 2023,13
2014-08-01,10.233716119450484,share,0.18926434788130325,0.20123868733888695,real,February 2023,13
2014-09-01,10.234448761470322,share,0.19162549150568695,0.20010026233038228,real,February 2023,13
2014-10-01,10.232423221768418,share,0.19855413693721746,0.19971697554147394,real,February 2023,13
2014-11-01,10.213159046305627,share,0.2020653395628818,0.20044720449946724,real,February 2023,13
2014-12-01,10.181655439452607,share,0.1904419020962373,0.19860114953519048,real,February 2023,13
2015-01-01,10.11679507240227,share,0.18457826540089517,0.1974460620259714,real,February 2023,13
2015-02-01,10.14243754309659,share,0.18683301196196747,0.19683335182274844,real,February 2023,13
2015-03-01,10.169760780777594,share,0.19083347086468136,0.1965210054106901,real,February 2023,13
2015-04-01,10.18036254177054,share,0.19011451154192907,0.19431486062218625,real,February 2023,13
2015-05-01,10.213934784914867,share,0.18702346324841967,0.1931225634247605,real,February 2023,13
2015-06-01,10.242206147562722,share,0.18928577279765652,0.19193613963378173,real,February 2023,13
2015-07-01,10.258453561767357,share,0.18911081750900022,0.19081087760898968,real,February 2023,13
2015-08-01,10.258410465177954,share,0.196125053505024,0.19138260307763308,real,February 2023,13
2015-09-01,10.235353789847768,share,0.18184454192530738,0.1905675239459348,real,February 2023,13
2015-10-01,10.24548148835729,share,0.17814118805315401,0.18886644487226284,real,February 2023,13
2015-11-01,10.25772091974752,share,0.18677995684207602,0.18759266297886235,real,February 2023,13
2015-12-01,10.246688192860551,share,0.1723531434487548,0.18608526642490547,real,February 2023,13
2016-01-01,10.24199066461571,share,0.16679073308982498,0.18460297206564963,real,February 2023,13
2016-02-01,10.228372142364611,share,0.17158429275248518,0.18333224546485943,real,February 2023,13
2016-03-01,10.260436004879859,share,0.17597054479511606,0.18209366829239565,real,February 2023,13
2016-04-01,10.29974009441468,share,0.1719088167681882,0.18057652706125057,real,February 2023,13
2016-05-01,10.324089667426934,share,0.17055569614009508,0.17920421313555687,real,February 2023,13
2016-06-01,10.352748899379408,share,0.17960781970034617,0.17839771704411433,real,February 2023,13
2016-07-01,10.34753421206174,share,0.16778614015172116,0.17662066059767442,real,February 2023,13
2016-08-01,10.366669097756324,share,0.17376770646494524,0.17475754834433452,real,February 2023,13
2016-09-01,10.393863045669123,share,0.1629633618261574,0.17318411666940536,real,February 2023,13
2016-10-01,10.418212618681377,share,0.15218153960436578,0.17102081263200633,real,February 2023,13
2016-11-01,10.43049514666101,share,0.15802477125157358,0.16862454716613112,real,February 2023,13
2016-12-01,10.456827162785762,share,0.1651476379067783,0.16802408837096644,real,February 2023,13
2017-01-01,10.499104916989339,share,0.15148707350951626,0.1667487834059407,real,February 2023,13
2017-02-01,10.515826393677397,share,0.15840910902515506,0.1656508514286632,real,February 2023,13
2017-03-01,10.510913382485546,share,0.1584201296261218,0.16418831683124702,real,February 2023,13
2017-04-01,10.523885455895613,share,0.15355769664366453,0.16265905682087003,real,February 2023,13
2017-05-01,10.515740200498593,share,0.15251455699901023,0.16115562855911297,real,February 2023,13
2017-06-01,10.522592558213546,share,0.15474405057020618,0.15908364779826795,real,February 2023,13
2017-07-01,10.526040285365724,share,0.14364981658284598,0.1570722875008617,real,February 2023,13
2017-08-01,10.566551079403807,share,0.14270368066515965,0.1544836186842129,real,February 2023,13
2017-09-01,10.620508009335385,share,0.15214565620738485,0.15358214321598185,real,February 2023,13
