state_abb,low_wage_threshold,low_wage_share,low_wage_count,state_mw,dates,obs_count
ND,14,0.08874569125536468,24000,$7.25,January 2022 through December 2022,1644
NE,14,0.10259164080832371,69000,$10.50,January 2022 through December 2022,1293
NH,14,0.08711012409192052,43000,$7.25,January 2022 through December 2022,1318
NJ,14,NA,NA,$14.13,January 2022 through December 2022,NA
NM,14,0.18032140151133053,93000,$12.00,January 2022 through December 2022,1307
NV,14,0.12001636584087091,97000,$10.50,January 2022 through December 2022,1059
NY,14,NA,NA,$14.20,January 2022 through December 2022,NA
OH,14,0.13768760070326788,488000,$10.10,January 2022 through December 2022,2144
OK,14,0.23055294711225088,235000,$7.25,January 2022 through December 2022,1120
OR,14,NA,NA,$13.50,January 2022 through December 2022,NA
PA,14,0.1304206478815041,457000,$7.25,January 2022 through December 2022,2300
RI,14,0.06982371570582468,23000,$13.00,January 2022 through December 2022,767
SC,14,0.18367819978923727,211000,$7.25,January 2022 through December 2022,1103
SD,14,0.10847736467370907,31000,$10.80,January 2022 through December 2022,1100
TN,14,0.16465473584281007,320000,$7.25,January 2022 through December 2022,1553
TX,14,0.17352049693902183,1470000,$7.25,January 2022 through December 2022,5088
UT,14,0.09934686566363701,107000,$7.25,January 2022 through December 2022,1704
VA,14,0.1089933846745651,248000,$12.00,January 2022 through December 2022,1472
VT,14,NA,NA,$13.18,January 2022 through December 2022,NA
WA,14,NA,NA,$15.74,January 2022 through December 2022,NA
WI,14,0.11631224666328174,239000,$7.25,January 2022 through December 2022,1496
WV,14,0.20191696498563869,76000,$8.75,January 2022 through December 2022,1243
WY,14,0.16393113827543265,26000,$7.25,January 2022 through December 2022,1167
AK,15,0.07521249980423728,14000,$10.85,January 2022 through December 2022,920
AL,15,0.24699718238728888,247000,$7.25,January 2022 through December 2022,1321
AR,15,0.24708450824071332,158000,$11.00,January 2022 through December 2022,1135
AZ,15,0.13690631353040972,295000,$13.85,January 2022 through December 2022,1376
CA,15,NA,NA,$15.50,January 2022 through December 2022,NA
CO,15,0.07911673363431926,142000,$13.65,January 2022 through December 2022,1280
CT,15,0.08350407288189099,83000,$14.00,January 2022 through December 2022,834
DC,15,NA,NA,$16.10,January 2022 through December 2022,NA
DE,15,0.1337408527831005,36000,$11.75,January 2022 through December 2022,899
FL,15,0.20881215530261885,925000,$11.00,January 2022 through December 2022,2931
GA,15,0.1940443476670743,518000,$7.25,January 2022 through December 2022,1619
HI,15,0.1599574205701558,52000,$12.00,January 2022 through December 2022,1068
IA,15,0.1750239342148482,162000,$7.25,January 2022 through December 2022,978
ID,15,0.19665923506057356,114000,$7.25,January 2022 through December 2022,1646
IL,15,0.12873746226153973,473000,$13.00,January 2022 through December 2022,2362
IN,15,0.15752404913789023,320000,$7.25,January 2022 through December 2022,1488
KS,15,0.1768381216711094,171000,$7.25,January 2022 through December 2022,1204
KY,15,0.20774853072780855,261000,$7.25,January 2022 through December 2022,974
LA,15,0.2810406969956293,239000,$7.25,January 2022 through December 2022,1311
MA,15,NA,NA,$15.00,January 2022 through December 2022,NA
MD,15,0.10522005647497926,188000,$13.25,January 2022 through December 2022,1113
ME,15,0.10073107199395467,39000,$13.80,January 2022 through December 2022,659
MI,15,0.15974899282762703,437000,$10.10,January 2022 through December 2022,1880
MN,15,0.08559146978754599,161000,$10.59,January 2022 through December 2022,1345
MO,15,0.16330044898239154,300000,$12.00,January 2022 through December 2022,1351
MS,15,0.32873470735095867,220000,$7.25,January 2022 through December 2022,1267
MT,15,0.1627185451466905,56000,$9.95,January 2022 through December 2022,1526
NC,15,0.20354729097982782,462000,$7.25,January 2022 through December 2022,1596
ND,15,0.10835401055386411,29000,$7.25,January 2022 through December 2022,1644
NE,15,0.13571054678922684,92000,$10.50,January 2022 through December 2022,1293
NH,15,0.11222167489917793,56000,$7.25,January 2022 through December 2022,1318
NJ,15,NA,NA,$14.13,January 2022 through December 2022,NA
NM,15,0.22877817216998161,118000,$12.00,January 2022 through December 2022,1307
NV,15,0.15789533684119475,127000,$10.50,January 2022 through December 2022,1059
NY,15,NA,NA,$14.20,January 2022 through December 2022,NA
OH,15,0.16758468887214953,594000,$10.10,January 2022 through December 2022,2144
OK,15,0.2777559562059466,283000,$7.25,January 2022 through December 2022,1120
OR,15,0.07616781140376915,104000,$13.50,January 2022 through December 2022,1597
PA,15,0.1518501549793085,532000,$7.25,January 2022 through December 2022,2300
RI,15,0.09212882906117874,31000,$13.00,January 2022 through December 2022,767
SC,15,0.21821452787816353,251000,$7.25,January 2022 through December 2022,1103
SD,15,0.13969138067556103,40000,$10.80,January 2022 through December 2022,1100
TN,15,0.21143927557538728,411000,$7.25,January 2022 through December 2022,1553
TX,15,0.20223383048816052,1713000,$7.25,January 2022 through December 2022,5088
UT,15,0.12988420781623206,140000,$7.25,January 2022 through December 2022,1704
VA,15,0.14059438431021726,320000,$12.00,January 2022 through December 2022,1472
VT,15,0.091009619051487,16000,$13.18,January 2022 through December 2022,1031
WA,15,NA,NA,$15.74,January 2022 through December 2022,NA
WI,15,0.14251047801241232,293000,$7.25,January 2022 through December 2022,1496
WV,15,0.24272297758380607,91000,$8.75,January 2022 through December 2022,1243
WY,15,0.1988076561477391,31000,$7.25,January 2022 through December 2022,1167
AK,16,0.12597534585789227,24000,$10.85,January 2022 through December 2022,920
AL,16,0.29663803885702233,296000,$7.25,January 2022 through December 2022,1321
AR,16,0.3004599910550831,192000,$11.00,January 2022 through December 2022,1135
AZ,16,0.2015312253540246,434000,$13.85,January 2022 through December 2022,1376
CA,16,NA,NA,$15.50,January 2022 through December 2022,NA
CO,16,0.12044063066791796,216000,$13.65,January 2022 through December 2022,1280
CT,16,0.14574974873635832,145000,$14.00,January 2022 through December 2022,834
DC,16,NA,NA,$16.10,January 2022 through December 2022,NA
DE,16,0.20376851693500284,55000,$11.75,January 2022 through December 2022,899
FL,16,0.28089264597344954,1244000,$11.00,January 2022 through December 2022,2931
GA,16,0.2566448540983858,685000,$7.25,January 2022 through December 2022,1619
HI,16,0.22030532293140523,72000,$12.00,January 2022 through December 2022,1068
IA,16,0.2329460786191023,216000,$7.25,January 2022 through December 2022,978
ID,16,0.25530985407258566,148000,$7.25,January 2022 through December 2022,1646
IL,16,0.1961000159670819,720000,$13.00,January 2022 through December 2022,2362
IN,16,0.22036993622152143,447000,$7.25,January 2022 through December 2022,1488
KS,16,0.23902282773266426,232000,$7.25,January 2022 through December 2022,1204
